,Unit price,Quantity,Total,gross income,Rating,Target_Total,HighSpender,Year,Month,Day,IsWeekend,Hour,Average_price_Item,Branch_Avg_Sales_x,Branch_Avg_Sales_y,Branch_B,Branch_C,City_Naypyitaw,City_Yangon,Customer_type_Normal,Gender_Male,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Payment_Credit card,Payment_Ewallet,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,PartOfTheDay_Afternoon,PartOfTheDay_Evening,PartOfTheDay_Night
0,15.28,5,80.22,3.82,9.6,80.22,0,2021.0,8.0,3.0,False,10,16.044,337.0997149390244,337.0997149390244,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,46.33,7,340.5255,16.2155,7.4,340.5255,0,2021.0,3.0,3.0,False,13,48.6465,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
2,58.22,8,489.048,23.288,8.4,489.048,0,,,,False,20,61.131,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
3,86.31,7,634.3785,30.2085,5.3,634.3785,1,2021.0,8.0,2.0,False,10,90.6255,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
4,85.39,7,627.6165,29.8865,4.1,627.6165,1,,,,False,18,89.6595,337.0997149390244,337.0997149390244,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
5,68.84,6,433.692,20.652,5.8,433.692,0,,,,False,14,72.282,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
6,73.56,10,772.38,36.78,8.0,772.38,1,,,,False,11,77.238,337.0997149390244,337.0997149390244,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
7,36.26,2,76.146,3.626,7.2,76.146,0,2021.0,10.0,1.0,False,17,38.073,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
8,54.84,3,172.746,8.226,5.9,172.746,0,,,,False,13,57.582,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
9,14.48,4,60.816,2.896,4.5,60.816,0,2021.0,6.0,2.0,False,18,15.204,319.8725060240964,319.8725060240964,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
10,25.51,4,107.142,5.102,6.8,107.142,0,2021.0,9.0,3.0,False,17,26.7855,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,46.95,5,246.4875,11.7375,7.1,246.4875,0,2021.0,12.0,2.0,False,10,49.2975,311.65604424778763,311.65604424778763,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
12,43.19,10,453.495,21.595,8.2,453.495,0,2021.0,7.0,2.0,False,16,45.3495,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
13,71.38,10,749.49,35.69,5.7,749.49,1,,,,False,19,74.949,311.65604424778763,311.65604424778763,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
14,93.72,6,590.436,28.116,4.5,590.436,1,,,,False,16,98.406,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,68.93,7,506.6355,24.1255,4.6,506.6355,1,2021.0,11.0,3.0,False,11,72.3765,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
16,72.61,6,457.443,21.783,6.9,457.443,0,2021.0,1.0,1.0,False,10,76.2405,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
17,54.67,3,172.2105,8.2005,8.6,172.2105,0,,,,False,18,57.4035,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
18,40.3,2,84.63,4.03,4.4,84.63,0,2021.0,11.0,3.0,False,15,42.315,319.8725060240964,319.8725060240964,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
19,86.04,5,451.71,21.51,4.8,451.71,0,,,,False,11,90.342,337.0997149390244,337.0997149390244,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,87.98,3,277.137,13.197,5.1,277.137,0,2021.0,5.0,3.0,False,10,92.379,319.8725060240964,319.8725060240964,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
21,33.2,2,69.72,3.32,4.4,69.72,0,,,,False,12,34.86,319.8725060240964,319.8725060240964,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
22,34.56,5,181.44,8.64,9.9,181.44,0,,,,False,11,36.288,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
23,88.63,3,279.1845,13.2945,6.0,279.1845,0,2021.0,2.0,3.0,False,17,93.06150000000001,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
24,52.59,8,441.756,21.036,8.5,441.756,0,,,,False,19,55.2195,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
25,33.52,1,35.196,1.676,6.7,35.196,0,2021.0,8.0,2.0,False,15,35.196,319.8725060240964,319.8725060240964,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26,87.67,2,184.107,8.767,7.7,184.107,0,2021.0,10.0,3.0,True,12,92.0535,311.65604424778763,311.65604424778763,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
27,88.36,5,463.89,22.09,9.6,463.89,0,,,,False,19,92.77799999999999,319.8725060240964,319.8725060240964,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
28,24.89,9,235.2105,11.2005,7.4,235.2105,0,,,,False,15,26.1345,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
29,94.13,5,494.1825,23.5325,4.8,494.1825,0,,,,False,19,98.8365,319.8725060240964,319.8725060240964,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
30,78.07,9,737.7615,35.1315,4.5,737.7615,1,,,,False,12,81.9735,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
31,83.78,8,703.752,33.512,5.1,703.752,1,2021.0,10.0,1.0,False,14,87.969,319.8725060240964,319.8725060240964,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
32,96.58,2,202.818,9.658,5.1,202.818,0,,,,False,10,101.409,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
33,99.42,4,417.564,19.884,7.5,417.564,0,2021.0,6.0,2.0,False,10,104.391,337.0997149390244,337.0997149390244,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
34,68.12,1,71.526,3.406,6.8,71.526,0,2021.0,7.0,1.0,False,12,71.526,337.0997149390244,337.0997149390244,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
35,62.62,5,328.755,15.655,7.0,328.755,0,2021.0,10.0,3.0,True,19,65.751,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
36,60.88,9,575.316,27.396,4.7,575.316,1,,,,False,17,63.92400000000001,311.65604424778763,311.65604424778763,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
37,54.92,8,461.328,21.968,7.6,461.328,0,,,,False,13,57.666,337.0997149390244,337.0997149390244,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
38,30.12,8,253.008,12.048,7.7,253.008,0,2021.0,3.0,3.0,False,13,31.626,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
39,86.72,1,91.056,4.336,7.9,91.056,0,,,,False,18,91.056,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
40,56.11,2,117.831,5.611,6.3,117.831,0,2021.0,2.0,2.0,False,10,58.9155,337.0997149390244,337.0997149390244,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
41,69.12,6,435.456,20.736,5.6,435.456,0,2021.0,8.0,2.0,False,13,72.57600000000001,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
42,98.7,8,829.08,39.48,7.6,829.08,1,2021.0,4.0,3.0,True,20,103.635,337.0997149390244,337.0997149390244,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
43,15.37,2,32.277,1.537,7.2,32.277,0,,,,False,19,16.1385,337.0997149390244,337.0997149390244,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
44,93.96,4,394.632,18.792,9.5,394.632,0,2021.0,9.0,3.0,False,18,98.658,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,56.69,9,535.7205,25.5105,8.4,535.7205,1,,,,False,17,59.5245,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
46,20.01,9,189.0945,9.0045,4.1,189.0945,0,2021.0,6.0,2.0,False,15,21.0105,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
47,18.93,6,119.259,5.679,8.1,119.259,0,2021.0,10.0,2.0,True,12,19.8765,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
48,82.63,10,867.615,41.315,7.9,867.615,1,,,,False,17,86.7615,337.0997149390244,337.0997149390244,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
49,91.4,7,671.79,31.99,9.5,671.79,1,2021.0,3.0,2.0,False,10,95.97,337.0997149390244,337.0997149390244,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
50,44.59,5,234.0975,11.1475,8.5,234.0975,0,2021.0,10.0,2.0,True,15,46.8195,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
51,17.87,4,75.054,3.574,6.5,75.054,0,,,,False,14,18.7635,319.8725060240964,319.8725060240964,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
52,15.43,1,16.2015,0.7715,6.1,16.2015,0,,,,False,15,16.2015,337.0997149390244,337.0997149390244,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
53,16.16,2,33.936,1.616,6.5,33.936,0,2021.0,7.0,3.0,True,11,16.968,319.8725060240964,319.8725060240964,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
54,85.98,8,722.232,34.392,8.2,722.232,1,,,,False,19,90.279,337.0997149390244,337.0997149390244,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
55,44.34,2,93.114,4.434,5.8,93.114,0,,,,False,11,46.557,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
56,89.6,8,752.64,35.84,6.6,752.64,1,2021.0,7.0,2.0,False,11,94.08,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
57,72.35,10,759.675,36.175,5.4,759.675,1,,,,False,15,75.9675,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
58,30.61,6,192.843,9.183,9.3,192.843,0,2021.0,12.0,3.0,False,20,32.140499999999996,337.0997149390244,337.0997149390244,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
59,24.74,3,77.931,3.711,10.0,77.931,0,,,,False,17,25.977,337.0997149390244,337.0997149390244,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
60,55.73,6,351.099,16.719,7.0,351.099,0,,,,False,10,58.5165,337.0997149390244,337.0997149390244,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
61,55.07,9,520.4115,24.7815,10.0,520.4115,1,2021.0,3.0,2.0,False,13,57.8235,319.8725060240964,319.8725060240964,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
62,15.81,10,166.005,7.905,8.6,166.005,0,2021.0,6.0,3.0,False,12,16.6005,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
63,75.74,4,318.108,15.148,7.6,318.108,0,,,,False,14,79.527,319.8725060240964,319.8725060240964,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
64,15.87,10,166.635,7.935,5.8,166.635,0,,,,False,16,16.6635,311.65604424778763,311.65604424778763,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
65,33.47,2,70.287,3.347,6.7,70.287,0,2021.0,10.0,2.0,True,15,35.1435,337.0997149390244,337.0997149390244,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
66,97.61,6,614.943,29.283,9.9,614.943,1,2021.0,7.0,1.0,False,15,102.4905,319.8725060240964,319.8725060240964,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
67,78.77,10,827.085,39.385,6.4,827.085,1,,,,False,10,82.7085,311.65604424778763,311.65604424778763,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
68,18.33,1,19.2465,0.9165,4.3,19.2465,0,2021.0,2.0,2.0,False,18,19.2465,311.65604424778763,311.65604424778763,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
69,89.48,10,939.54,44.74,9.6,939.54,1,2021.0,6.0,1.0,False,12,93.954,337.0997149390244,337.0997149390244,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
